The	O
isolation	O
of	O
the	O
mouse	O
Brca1	O
homologue	O
will	O
facilitate	O
the	O
creation	O
of	O
mouse	O
models	O
for	O
germline	O
BRCA1	B-Disease
defects	I-Disease
.	O
.	O

Emerin	B-Disease
deficiency	I-Disease
at	O
the	O
nuclear	O
membrane	O
in	O
patients	O
with	O
Emery	B-Disease
-	I-Disease
Dreifuss	I-Disease
muscular	I-Disease
dystrophy	I-Disease
.	O

Mutations	O
in	O
the	O
STA	O
gene	O
at	O
the	O
Xq28	O
locus	O
have	O
been	O
found	O
in	O
patients	O
with	O
X	B-Disease
-	I-Disease
linked	I-Disease
Emery	I-Disease
-	I-Disease
Dreifuss	I-Disease
muscular	I-Disease
dystrophy	I-Disease
(	O
EDMD	B-Disease
)	O
.	O

This	O
gene	O
encodes	O
a	O
hitherto	O
unknown	O
protein	O
named	O
emerin	O
.	O

To	O
elucidate	O
the	O
subcellular	O
localization	O
of	O
emerin	O
,	O
we	O
raised	O
two	O
antisera	O
against	O
synthetic	O
peptide	O
fragments	O
predicted	O
from	O
emerin	O
cDNA	O
.	O

Using	O
both	O
antisera	O
,	O
we	O
found	O
positive	O
nuclear	O
membrane	O
staining	O
in	O
skeletal	O
,	O
cardiac	O
and	O
smooth	O
muscles	O
in	O
the	O
normal	O
controls	O
and	O
in	O
patients	O
with	O
neuromuscular	B-Disease
diseases	I-Disease
other	O
than	O
EDMD	B-Disease
.	O

In	O
contrast	O
,	O
a	O
deficiency	O
in	O
immunofluorescent	O
staining	O
of	O
skeletal	O
and	O
cardiac	O
muscle	O
from	O
EDMD	B-Disease
patients	O
was	O
observed	O
.	O

A	O
34	O
kD	O
protein	O
is	O
immunoreactive	O
with	O
the	O
antisera	O
-	O
-	O
the	O
protein	O
is	O
equivalent	O
to	O
that	O
predicted	O
for	O
emerin	O
.	O

Together	O
,	O
our	O
findings	O
suggest	O
the	O
specific	O
deficiency	B-Disease
of	I-Disease
emerin	I-Disease
in	O
the	O
nuclear	O
membrane	O
of	O
muscle	O
cells	O
in	O
patients	O
with	O
EDMD	B-Disease
.	O
.	O

Growth	B-Disease
retardation	I-Disease
and	O
tumour	B-Disease
inhibition	O
by	O
BRCA1	O
.	O

Inherited	O
mutations	O
in	O
BRCA1	O
predispose	O
to	O
breast	B-Disease
and	I-Disease
ovarian	I-Disease
cancer	I-Disease
,	O
but	O
the	O
role	O
of	O
BRCA1	O
in	O
sporadic	O
breast	B-Disease
and	I-Disease
ovarian	I-Disease
cancer	I-Disease
has	O
previously	O
been	O
elusive	O
.	O

Here	O
,	O
we	O
show	O
that	O
retroviral	O
transfer	O
of	O
the	O
wild	O
-	O
type	O
BRCA1	O
gene	O
inhibits	O
growth	O
in	O
vitro	O
of	O
all	O
breast	B-Disease
and	I-Disease
ovarian	I-Disease
cancer	I-Disease
cell	O
lines	O
tested	O
,	O
but	O
not	O
colon	B-Disease
or	I-Disease
lung	I-Disease
cancer	I-Disease
cells	O
or	O
fibroblasts	O
.	O

Mutant	O
BRCA1	O
has	O
no	O
effect	O
on	O
growth	O
of	O
breast	B-Disease
cancer	I-Disease
cells	O
;	O
ovarian	B-Disease
cancer	I-Disease
cell	O
growth	O
is	O
not	O
affected	O
by	O
BRCA1	O
mutations	O
in	O
the	O
5	O
portion	O
of	O
the	O
gene	O
,	O
but	O
is	O
inhibited	O
by	O
3	O
BRCA1	O
mutations	O
.	O

Development	O
of	O
MCF	B-Disease
-	I-Disease
7	I-Disease
tumours	I-Disease
in	O
nude	O
mice	O
is	O
inhibited	O
when	O
MCF	O
-	O
7	O
cells	O
are	O
transfected	O
with	O
wild	O
-	O
type	O
,	O
but	O
not	O
mutant	O
,	O
BRCA1	O
.	O

Most	O
importantly	O
,	O
among	O
mice	O
with	O
established	O
MCF	B-Disease
-	I-Disease
7	I-Disease
tumours	I-Disease
,	O
peritoneal	O
treatment	O
with	O
a	O
retroviral	O
vector	O
expressing	O
wild	O
-	O
type	O
BRCA1	O
significantly	O
inhibits	O
tumour	B-Disease
growth	O
and	O
increased	O
survival	O
.	O
.	O

